corrupted_word,clean_word,substitution_events
أرآان,أركان,آ->ك
آان,كان,آ->ك
آل,كل,آ->ك
آل,كل,آ->ك
آان,كان,آ->ك
آاملا,كاملا,آ->ك
آان,كان,آ->ك
آله,كله,آ->ك
،,ء,،->ء
،,ء,،->ء
الشيء,الشىء,ي->ى
آل,كل,آ->ك
آان,كان,آ->ك
آامل,كامل,آ->ك
آافة,كافة,آ->ك
آان,كان,آ->ك
ينقضي,ينقضى,ي->ى
آسبها,كسبها,آ->ك
وآان,وكان,آ->ك
آان,كان,آ->ك
ذآر,ذكر,آ->ك
،,؛,،->؛
آافيا,كافيا,آ->ك
آان,كان,آ->ك
آان,كان,آ->ك
آما,كما,آ->ك
آسبه,كسبه,آ->ك
آان,كان,آ->ك
آان,كان,آ->ك
آاف,كاف,آ->ك
وآان,وكان,آ->ك
آان,كان,آ->ك
يذآر,يذكر,آ->ك
آان,كان,آ->ك
آل,كل,آ->ك
آل,كل,آ->ك
آل,كل,آ->ك
آانت,كانت,آ->ك
آل,كل,آ->ك
تتعارض,تنعارض,ت->ن
آان,كان,آ->ك
آان,كان,آ->ك
آان,كان,آ->ك
آان,كان,آ->ك
آانت,كانت,آ->ك
آان,كان,آ->ك
آله,كله,آ->ك
وآل,وكل,آ->ك
مأآل,مأكل,آ->ك
آل,كل,آ->ك
الذآر,الذكر,آ->ك
وآذلك,وكذلك,آ->ك
الآلات,الالات,آ->ا
(أجر,أجرة,أ->ج;ج->ر;ر->ة
ومملوآا,ومملوكا,آ->ك
للمستأجر,للمستاجر,أ->ا
آانت,كانت,آ->ك
آانت,كانت,آ->ك
مملوآة,مملوكة,آ->ك
آان,كان,آ->ك
المملوآة,المملوكة,آ->ك
آان,كان,آ->ك
